species,pu,amount
1,1695,16481747.5014067
1,1715,36180233.5016041
1,1718,4545593.91778374
1,1738,14234663.2479296
1,1739,224553.849017143
1,1741,50303462.6154194
1,1762,94320401.0108738
1,1765,911743.13468504
1,1785,90769124.7401085
1,1786,2418144.87136269
1,1811,100051201.3057
1,1837,104705890.764275
1,1838,6949321.73495674
1,1863,103447393.430748
1,1888,104705890.764275
1,1889,13816252.2488861
1,1911,51142749.3781023
1,1912,104899775.18277
1,1913,104511658.978271
1,1934,12672147.0245352
1,1935,105093311.6558
1,1936,104705890.764275
1,1937,22297280.614624
1,1957,105286499.60688
1,1958,104899775.18277
1,1959,104511658.978271
1,1980,89732759.9315872
1,1981,105093311.6558
1,1982,104705890.764275
1,1983,31237654.138649
1,2002,7243295.78750324
1,2003,105286499.60688
1,2004,104899775.18277
1,2005,104511658.978271
1,2025,68015833.0395737
1,2026,105093311.6558
1,2027,104705890.764275
1,2028,34212450.9895458
1,2049,105286499.60688
1,2050,104899775.18277
1,2051,93745647.2826843
1,2071,7619926.58592796
1,2072,105093311.6558
1,2073,104705890.764275
1,2094,63618640.4839191
1,2095,104899775.18277
1,2096,15903092.3956642
1,2116,105093311.6558
1,2117,52876465.9358482
1,2132,3072029.22683334
1,2136,4852529.47532701
1,2137,89730450.917202
1,2153,180074.177124701
1,2157,59077396.271831
1,2172,52935062.0247412
1,2174,250190.668530464
1,2177,11538167.884985
1,2190,1543709.8769252
1,2193,340123.235835552
1,2195,425836.946452856
1,2209,2326534.21442413
1,2229,26502245.0710773
1,2231,695100.873635054
1,2247,85485023.9368401
1,2249,62143797.4245019
1,2265,35288343.9727936
1,2266,45827812.6076965
1,2267,4763512.35228348
1,2268,13133928.1237488
1,2284,107199084.592606
1,2286,95030734.6503677
1,2301,10362347.434494
1,2302,39106059.14571
1,2303,9268069.33493423
1,2318,25231800.0779667
1,2320,64546122.9315624
1,2335,6144063.69931221
1,2336,8483631.58265686
1,2352,15504093.6667919
1,2367,17006335.8480463
1,2397,13061892.2709745
1,2412,3382.89062608778
1,2427,102670893.4829
1,2429,2319622.96327782
1,2441,19158546.8553047
1,2442,1886539.7598027
1,245,2123100.25817215
1,2455,23188795.3571423
1,2457,5862085.39513445
1,281,5535390.23904705
2,1373,2598546.63044786
2,1451,26938.8841180801
2,1529,1385413.75573874
2,1545,563782.528115273
2,1559,937996.965604305
2,1654,8121533.85336018
2,1691,4896088.75141048
2,1761,302606.478740692
2,1783,791191.72681123
2,1809,55386.037612021
2,1835,1302661.20314026
2,1932,4964971.35141814
2,1977,2624089.07751989
2,2000,1462711.71746278
2,2022,309421.251419067
2,2061,6350015.65436745
2,2071,6448316.77832496
