id,prop,spf,name
1,0.3,1000,Boltenia_KDE
2,0.3,1000,LargeGorgonian_KDE
3,0.3,1000,LargeGorgonian_SDM
4,0.3,1000,OtherSponges_noVazella_KDE
5,0.3,1000,SandDollar_KDE
6,0.3,1000,SeaPens_KDE
7,0.3,1000,SeaPens_SDM
8,0.3,1000,SmallGorgonian_SDM
9,0.3,1000,SoftCoral_KDE
10,0.3,1000,Vazella_KDE
11,0.3,1000,AmericanPlaice4VW
12,0.3,1000,AmericanPlaice4X
13,0.3,1000,AtlanticCod4Vn
14,0.3,1000,AtlanticCod4VsW
15,0.3,1000,AtlanticCod4X
16,0.3,1000,Cusk
17,0.3,1000,NorthAtlanticRightWhale_CH
18,0.3,1000,OceanPout
19,0.3,1000,RedfishUnit2shp
20,0.3,1000,RoughheadGrenadier
21,0.3,1000,RoughnoseGrenadier
22,0.3,1000,SmoothSkate4VsW
23,0.3,1000,SmoothSkate4X
24,0.3,1000,SpinyDogfish
25,0.3,1000,ThornySkate4VsW
26,0.3,1000,ThornySkate4X
27,0.3,1000,WhiteHake4VW
28,0.3,1000,WhiteHake4X
29,0.3,1000,WinterSkate4VsW
30,0.3,1000,GenusRichness_Ichthyoplankton
31,0.3,1000,SpeciesRichness_Fish4VW
32,0.3,1000,SpeciesRichness_Fish4X
33,0.3,1000,SpeciesRichness_Invert4VW
34,0.3,1000,SpeciesRichness_Invert4X
35,0.3,1000,SpeciesRichness_SmallFish4VW
36,0.3,1000,SpeciesRichness_SmallFish4X
37,0.3,1000,SpeciesRichness_SmallInvert4VW
38,0.3,1000,SpeciesRichness_SmallInvert4X
39,0.3,1000,FishBenthivoreBenthicLarge_4VW
40,0.3,1000,FishBenthivoreBenthicLarge_4X
41,0.3,1000,FishBenthivoreBenthicMedium_4VW
42,0.3,1000,FishBenthivoreBenthicMedium_4X
43,0.3,1000,FishBenthivoreBenthicSmall_4VW
44,0.3,1000,FishBenthivoreBenthicSmall_4X
45,0.3,1000,FishPiscivoreBenthicLarge_4VW
46,0.3,1000,FishPiscivoreBenthicLarge_4X
47,0.3,1000,FishPiscivoreBenthicSmallMedium_4VW
48,0.3,1000,FishPiscivoreBenthicSmallMedium_4X
49,0.3,1000,FishPiscivorePelagicSmallMediumLarge_4VW
50,0.3,1000,FishPiscivorePelagicSmallMediumLarge_4X
51,0.3,1000,FishPlanktivorePelagicSmallMediumLarge_4VW
52,0.3,1000,FishPlanktivorePelagicSmallMediumLarge_4X
53,0.3,1000,FishZoopiscivoreBenthicSmallMediumLarge_4VW
54,0.3,1000,FishZoopiscivoreBenthicSmallMediumLarge_4X
55,0.3,1000,FishZoopiscivorePelagicSmallMediumLarge_4VW
56,0.3,1000,FishZoopiscivorePelagicSmallMediumLarge_4X
57,0.3,1000,InvertBenthivoreBenthicMedium_4VW
58,0.3,1000,InvertBenthivoreBenthicMedium_4X
59,0.3,1000,InvertBenthivoreBenthicSmall_4VW
60,0.3,1000,InvertBenthivoreBenthicSmall_4X
61,0.3,1000,InvertDetritivore_4VW
62,0.3,1000,InvertDetritivore_4X
63,0.3,1000,InvertFilterFeederBenthicColonial_4VW
64,0.3,1000,InvertFilterFeederBenthicColonial_4X
65,0.3,1000,InvertFilterFeederBenthicNonColonial_4VW
66,0.3,1000,InvertFilterFeederBenthicNonColonial_4X
67,0.3,1000,InvertZoopiscivoreSmallMediumLarge_4VW
68,0.3,1000,InvertZoopiscivoreSmallMediumLarge_4X
69,0.3,1000,Seabird_plunge_diving_piscivore
70,0.3,1000,Seabird_pursuit_diving_piscivore
71,0.3,1000,Seabird_pursuit_diving_planktivore
72,0.3,1000,Seabird_shallow_pursuit_generalist
73,0.3,1000,Seabird_ship_following_generalist
74,0.3,1000,Seabird_surface_seizing_planktivore
75,0.3,1000,Seabird_surface_shallow_diving_coastal_piscivore
76,0.3,1000,Seabird_surface_shallow_diving_piscivore
77,0.3,1000,RoundnoseGrenadier
78,0.3,1000,AtlanticWolffish
