"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
78,AtlanticWolffish,3321974330.671140,3705269189.046967,0,82,0,3306597,yes,1.000000
77,RoundnoseGrenadier,1716505501.153948,2902024681.454175,0,48,0,3306597,yes,1.000000
76,Seabird_surface_shallow_diving_piscivore,14192153489.865921,15202542395.318434,0,230,0,3306597,yes,1.000000
75,Seabird_surface_shallow_diving_coastal_piscivore,2269320811.407264,2314531399.092936,0,47,0,3306597,yes,1.000000
74,Seabird_surface_seizing_planktivore,17222047880.069443,17340412335.269432,0,223,0,3306597,yes,1.000000
73,Seabird_ship_following_generalist,14571604827.606043,16705177030.785961,0,202,0,3306597,yes,1.000000
72,Seabird_shallow_pursuit_generalist,16441747536.895529,16551622217.958143,0,241,0,3306597,yes,1.000000
71,Seabird_pursuit_diving_planktivore,10738392018.304840,11502117570.415318,0,157,0,3306597,yes,1.000000
70,Seabird_pursuit_diving_piscivore,11985429369.790203,12689228898.539518,0,197,0,3306597,yes,1.000000
69,Seabird_plunge_diving_piscivore,11609801533.680336,14864050978.380325,0,204,0,3306597,yes,1.000000
68,InvertZoopiscivoreSmallMediumLarge_4X,6158509606.955608,8466544038.666830,0,123,0,3306597,yes,1.000000
67,InvertZoopiscivoreSmallMediumLarge_4VW,1406035560.553680,1437058386.016085,0,55,0,3306597,yes,1.000000
66,InvertFilterFeederBenthicNonColonial_4X,3501673332.727635,3586010719.360646,0,63,0,3306597,yes,1.000000
65,InvertFilterFeederBenthicNonColonial_4VW,16164805926.499008,24118252213.024300,0,298,0,3306597,yes,1.000000
64,InvertFilterFeederBenthicColonial_4X,207450560.689184,301406880.087958,0,13,0,3306597,yes,1.000000
63,InvertFilterFeederBenthicColonial_4VW,4775946514.961157,5471971811.189365,0,112,0,3306597,yes,1.000000
62,InvertDetritivore_4X,1778498906.065942,2178510698.437957,0,46,0,3306597,yes,1.000000
61,InvertDetritivore_4VW,6936185777.478847,10674517806.512760,0,151,0,3306597,yes,1.000000
60,InvertBenthivoreBenthicSmall_4X,4819375277.863227,6697569137.555216,0,123,0,3306597,yes,1.000000
59,InvertBenthivoreBenthicSmall_4VW,16860162573.951733,17343234881.834438,0,244,0,3306597,yes,1.000000
58,InvertBenthivoreBenthicMedium_4X,6710621237.819339,9817158324.254051,0,119,0,3306597,yes,1.000000
57,InvertBenthivoreBenthicMedium_4VW,14977695571.173635,14993551398.108051,0,229,0,3306597,yes,1.000000
56,FishZoopiscivorePelagicSmallMediumLarge_4X,1364234383.758729,1510813461.234296,0,43,0,3306597,yes,1.000000
55,FishZoopiscivorePelagicSmallMediumLarge_4VW,1934811760.200804,2200352864.276811,0,65,0,3306597,yes,1.000000
54,FishZoopiscivoreBenthicSmallMediumLarge_4X,5292625476.832455,5293635999.918409,0,77,0,3306597,yes,1.000000
53,FishZoopiscivoreBenthicSmallMediumLarge_4VW,4917788721.376358,6814091773.043148,0,131,0,3306597,yes,1.000000
52,FishPlanktivorePelagicSmallMediumLarge_4X,4703602900.051674,5382392538.382539,0,77,0,3306597,yes,1.000000
