"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
78,AtlanticWolffish,3321974330.671140,6312416929.189932,0,122,0,3306597,yes,1.000000
77,RoundnoseGrenadier,1716505501.153948,2007159620.014564,0,36,0,3306597,yes,1.000000
76,Seabird_surface_shallow_diving_piscivore,14192153489.865921,16314324522.781397,0,242,0,3306597,yes,1.000000
75,Seabird_surface_shallow_diving_coastal_piscivore,2269320811.407264,2292456803.618131,0,37,0,3306597,yes,1.000000
74,Seabird_surface_seizing_planktivore,17222047880.069443,17554813741.210552,0,226,0,3306597,yes,1.000000
73,Seabird_ship_following_generalist,14571604827.606043,20979585994.283363,0,280,0,3306597,yes,1.000000
72,Seabird_shallow_pursuit_generalist,16441747536.895529,19268209586.051243,0,284,0,3306597,yes,1.000000
71,Seabird_pursuit_diving_planktivore,10738392018.304840,10839706694.900551,0,142,0,3306597,yes,1.000000
70,Seabird_pursuit_diving_piscivore,11985429369.790203,12213629821.291363,0,192,0,3306597,yes,1.000000
69,Seabird_plunge_diving_piscivore,11609801533.680336,11638814016.392801,0,175,0,3306597,yes,1.000000
68,InvertZoopiscivoreSmallMediumLarge_4X,6158509606.955608,7036359857.052531,0,112,0,3306597,yes,1.000000
67,InvertZoopiscivoreSmallMediumLarge_4VW,1406035560.553680,1462569075.581502,0,57,0,3306597,yes,1.000000
66,InvertFilterFeederBenthicNonColonial_4X,3501673332.727635,6138368346.169807,0,88,0,3306597,yes,1.000000
65,InvertFilterFeederBenthicNonColonial_4VW,16164805926.499008,19660675561.066143,0,277,0,3306597,yes,1.000000
64,InvertFilterFeederBenthicColonial_4X,207450560.689184,430813163.488394,0,15,0,3306597,yes,1.000000
63,InvertFilterFeederBenthicColonial_4VW,4775946514.961157,7829895110.086554,0,134,0,3306597,yes,1.000000
62,InvertDetritivore_4X,1778498906.065942,1869714524.325158,0,37,0,3306597,yes,1.000000
61,InvertDetritivore_4VW,6936185777.478847,8863213608.945698,0,131,0,3306597,yes,1.000000
60,InvertBenthivoreBenthicSmall_4X,4819375277.863227,4823839852.516173,0,114,0,3306597,yes,1.000000
59,InvertBenthivoreBenthicSmall_4VW,16860162573.951733,17180982655.826916,0,243,0,3306597,yes,1.000000
58,InvertBenthivoreBenthicMedium_4X,6710621237.819339,10679291714.025127,0,131,0,3306597,yes,1.000000
57,InvertBenthivoreBenthicMedium_4VW,14977695571.173635,16285462543.292700,0,259,0,3306597,yes,1.000000
56,FishZoopiscivorePelagicSmallMediumLarge_4X,1364234383.758729,1408583390.788294,0,37,0,3306597,yes,1.000000
55,FishZoopiscivorePelagicSmallMediumLarge_4VW,1934811760.200804,2112527956.115010,0,76,0,3306597,yes,1.000000
54,FishZoopiscivoreBenthicSmallMediumLarge_4X,5292625476.832455,6099160988.518811,0,77,0,3306597,yes,1.000000
53,FishZoopiscivoreBenthicSmallMediumLarge_4VW,4917788721.376358,6831508420.581315,0,134,0,3306597,yes,1.000000
52,FishPlanktivorePelagicSmallMediumLarge_4X,4703602900.051674,4965484633.669092,0,70,0,3306597,yes,1.000000
51,FishPlanktivorePelagicSmallMediumLarge_4VW,9478662912.713354,9531205426.427408,0,133,0,3306597,yes,1.000000
50,FishPiscivorePelagicSmallMediumLarge_4X,143685704.130126,357701500.993744,0,10,0,3306597,yes,1.000000
49,FishPiscivorePelagicSmallMediumLarge_4VW,2480187586.062386,3841633642.064514,0,78,0,3306597,yes,1.000000
48,FishPiscivoreBenthicSmallMedium_4X,4420883021.347220,4578587979.727261,0,81,0,3306597,yes,1.000000
47,FishPiscivoreBenthicSmallMedium_4VW,16460847546.818779,16509918900.430288,0,217,0,3306597,yes,1.000000
46,FishPiscivoreBenthicLarge_4X,2951229189.362032,4863059368.164498,0,89,0,3306597,yes,1.000000
45,FishPiscivoreBenthicLarge_4VW,14490650088.020197,19481535916.119911,0,251,0,3306597,yes,1.000000
44,FishBenthivoreBenthicSmall_4X,2581603185.239185,3725469845.771232,0,79,0,3306597,yes,1.000000
43,FishBenthivoreBenthicSmall_4VW,9025110491.066862,9703938086.476553,0,173,0,3306597,yes,1.000000
42,FishBenthivoreBenthicMedium_4X,4737077566.046282,8463506521.436539,0,121,0,3306597,yes,1.000000
41,FishBenthivoreBenthicMedium_4VW,12872078748.464720,14202989581.711130,0,215,0,3306597,yes,1.000000
40,FishBenthivoreBenthicLarge_4X,5570211863.352839,9245184820.729834,0,106,0,3306597,yes,1.000000
39,FishBenthivoreBenthicLarge_4VW,10734924363.194838,12914188359.660378,0,208,0,3306597,yes,1.000000
38,SpeciesRichness_SmallInvert4X,3935255157.041501,4318654465.132276,0,65,0,3306597,yes,1.000000
37,SpeciesRichness_SmallInvert4VW,6553536979.409660,7540354649.830158,0,133,0,3306597,yes,1.000000
36,SpeciesRichness_SmallFish4X,3359257847.022853,3378511012.485843,0,56,0,3306597,yes,1.000000
35,SpeciesRichness_SmallFish4VW,6467262310.301574,8813210448.788620,0,139,0,3306597,yes,1.000000
34,SpeciesRichness_Invert4X,5035319383.707451,5076367139.830286,0,108,0,3306597,yes,1.000000
33,SpeciesRichness_Invert4VW,9463511535.619581,9644331601.336510,0,214,0,3306597,yes,1.000000
32,SpeciesRichness_Fish4X,4871454868.789026,4901418836.291659,0,128,0,3306597,yes,1.000000
31,SpeciesRichness_Fish4VW,10284831789.398886,10402485850.795807,0,286,0,3306597,yes,1.000000
30,GenusRichness_Ichthyoplankton,12286756738.667547,14889520715.696444,0,215,0,3306597,yes,1.000000
29,WinterSkate4VsW,889432638.766228,1655682056.154196,0,37,0,3306597,yes,1.000000
28,WhiteHake4X,1067308515.012186,1274355613.873562,0,27,0,3306597,yes,1.000000
27,WhiteHake4VW,4735504783.918414,4740382052.199260,0,103,0,3306597,yes,1.000000
26,ThornySkate4X,633660019.928640,1103217234.290519,0,32,0,3306597,yes,1.000000
25,ThornySkate4VsW,3961267841.138958,7132282068.883287,0,108,0,3306597,yes,1.000000
24,SpinyDogfish,2346125496.058757,2373134642.521191,0,43,0,3306597,yes,1.000000
23,SmoothSkate4X,673431928.022683,749231055.397288,0,22,0,3306597,yes,1.000000
22,SmoothSkate4VsW,902442063.059518,1409151502.923536,0,50,0,3306597,yes,1.000000
21,RoughnoseGrenadier,55632820588.430420,55666611940.574577,0,529,0,3306597,yes,1.000000
20,RoughheadGrenadier,1489296871.536253,1996595659.008902,0,37,0,3306597,yes,1.000000
19,RedfishUnit2shp,2105276054.240902,3625989985.532756,0,63,0,3306597,yes,1.000000
18,OceanPout,1194693433.081934,1774207713.927247,0,31,0,3306597,yes,1.000000
17,NorthAtlanticRightWhale_CH,990949841.427475,2870428645.595210,0,38,0,3306597,yes,1.000000
16,Cusk,9387238134.103327,10021589559.345095,0,266,0,3306597,yes,1.000000
15,AtlanticCod4X,1302609616.498959,2209236518.315262,0,49,0,3306597,yes,1.000000
14,AtlanticCod4VsW,2786614785.735490,3612084679.246403,0,76,0,3306597,yes,1.000000
