"planning_unit","number"
2794,0
2793,0
2792,0
2791,0
2790,0
2789,0
2788,0
2787,0
2786,0
2785,0
2784,0
2783,1
2782,0
2781,0
2780,0
2779,0
2778,0
2777,0
2776,0
2775,0
2774,0
2773,0
2772,0
2771,0
2770,0
2769,0
2768,0
2767,0
2766,0
2765,0
2764,0
2763,0
2762,0
2761,0
2760,0
2759,0
2758,0
2757,0
2756,0
2755,0
2754,0
2753,1
2752,0
2751,0
2750,0
2749,0
2748,0
2747,0
2746,0
2745,0
2744,1
2743,0
2742,2
2741,0
2740,0
2739,0
2738,0
2737,0
2736,0
2735,0
2734,0
2733,0
2732,0
2731,0
2730,1
2729,0
2728,0
2727,0
2726,1
2725,0
2724,0
2723,0
2722,0
2721,0
2720,0
2719,0
2718,0
2717,0
2716,0
2715,0
2714,0
2713,0
2712,0
2711,0
2710,0
2709,0
2708,2
2707,0
2706,0
2705,0
2704,0
2703,0
2702,0
2701,0
2700,0
2699,0
2698,0
2697,5
2696,3
2695,1
2694,0
2693,0
2692,0
2691,0
2690,0
2689,0
2688,0
2687,5
2686,7
2685,4
2684,2
2683,0
2682,0
2681,0
2680,0
2679,0
2678,0
2677,0
2676,0
2675,6
2674,7
2673,3
2672,5
2671,2
2670,0
2669,0
2668,0
2667,0
2666,0
2665,0
2664,0
2663,7
2662,8
2661,5
2660,6
2659,5
2658,4
2657,0
2656,0
2655,0
2654,0
2653,0
2652,0
2651,0
2650,9
2649,8
2648,10
2647,8
2646,9
2645,6
2644,8
2643,0
2642,0
2641,0
2640,0
2639,0
2638,0
2637,0
2636,10
2635,11
2634,10
2633,10
2632,10
2631,10
2630,7
2629,1
2628,0
2627,0
2626,0
2625,0
2624,0
2623,0
2622,0
2621,0
2620,13
2619,15
2618,16
2617,12
2616,14
2615,10
2614,14
2613,1
2612,0
2611,0
2610,0
2609,0
2608,0
2607,0
2606,0
2605,17
2604,17
2603,20
2602,22
2601,16
2600,13
2599,13
2598,3
2597,0
2596,0
2595,0
2594,0
2593,0
2592,0
2591,0
2590,0
2589,20
2588,20
2587,23
2586,25
2585,21
2584,13
2583,15
2582,18
2581,1
2580,0
2579,0
2578,0
2577,0
2576,0
2575,0
2574,0
2573,19
2572,21
2571,22
2570,28
2569,27
2568,18
2567,14
2566,18
2565,12
2564,0
2563,0
2562,0
2561,0
2560,0
2559,0
2558,0
2557,21
2556,25
2555,29
2554,28
2553,22
2552,16
2551,20
2550,32
2549,4
2548,0
2547,0
2546,0
2545,0
2544,0
2543,0
2542,23
2541,24
2540,28
2539,30
2538,28
2537,16
2536,21
2535,28
2534,40
2533,0
2532,1
2531,0
2530,0
2529,0
2528,19
2527,26
2526,31
2525,30
2524,29
2523,18
2522,17
2521,23
2520,43
2519,23
2518,1
2517,0
2516,0
2515,0
2514,16
2513,24
2512,34
2511,33
2510,24
2509,16
2508,20
2507,21
2506,32
2505,39
2504,12
2503,0
2502,0
2501,21
2500,32
2499,33
2498,28
2497,15
2496,18
2495,18
2494,27
2493,41
2492,33
2491,5
2490,0
2489,0
2488,21
2487,28
2486,39
2485,27
2484,17
2483,16
2482,20
2481,24
2480,34
2479,41
2478,28
2477,3
2476,0
2475,14
2474,24
2473,37
2472,35
2471,15
2470,16
2469,20
2468,22
2467,30
2466,39
2465,40
2464,11
2463,1
2462,0
2461,12
2460,21
2459,37
2458,38
2457,22
2456,14
2455,21
2454,22
2453,25
2452,35
2451,45
2450,37
2449,8
2448,1
2447,14
2446,31
2445,36
2444,29
2443,13
2442,18
2441,21
2440,25
2439,33
2438,41
2437,47
2436,25
2435,4
2434,1
2433,12
2432,23
2431,35
2430,30
2429,17
2428,13
2427,21
2426,22
2425,31
2424,39
2423,45
2422,45
2421,12
2420,3
2419,5
2418,15
2417,32
2416,32
2415,22
2414,14
2413,17
2412,23
2411,28
2410,36
2409,43
2408,45
2407,36
2406,9
2405,2
2404,3
2403,10
2402,26
2401,30
2400,24
2399,17
2398,14
2397,22
2396,27
2395,32
2394,40
2393,44
2392,44
2391,22
2390,7
2389,5
2388,17
2387,30
2386,24
2385,21
2384,13
2383,18
2382,19
2381,29
2380,40
2379,42
2378,45
2377,42
2376,13
2375,6
2374,3
2373,10
2372,28
2371,24
2370,20
2369,13
2368,11
2367,17
2366,24
2365,35
2364,42
2363,45
2362,43
2361,28
2360,10
2359,0
2358,3
2357,18
2356,27
2355,21
2354,16
2353,12
2352,14
2351,21
2350,28
2349,41
2348,42
2347,43
2346,39
2345,17
2344,9
2343,0
2342,3
2341,9
2340,27
2339,25
2338,18
2337,13
2336,14
2335,20
2334,25
2333,35
2332,41
2331,42
2330,44
2329,36
2328,12
2327,4
2326,0
2325,5
2324,18
2323,30
2322,20
2321,16
2320,15
2319,20
2318,25
2317,30
2316,40
2315,40
2314,43
2313,44
2312,25
2311,5
2310,0
2309,4
2308,8
2307,27
2306,31
2305,18
2304,16
2303,19
2302,21
2301,27
2300,35
2299,41
2298,41
2297,44
2296,41
2295,10
2294,2
2293,0
2292,1
2291,5
2290,15
2289,31
2288,22
2287,15
2286,17
2285,21
2284,26
2283,29
2282,35
2281,39
2280,41
2279,44
2278,37
2277,2
2276,0
2275,0
2274,1
2273,4
2272,10
2271,28
2270,32
2269,17
2268,15
2267,20
2266,23
2265,26
2264,33
2263,33
2262,40
2261,44
2260,45
2259,10
2258,0
2257,0
2256,0
2255,1
2254,4
2253,15
2252,35
2251,16
2250,16
2249,18
2248,19
2247,21
2246,28
2245,32
2244,36
2243,42
2242,45
2241,41
2240,0
2239,0
2238,1
2237,1
2236,2
2235,7
2234,30
2233,26
2232,16
2231,18
2230,16
2229,17
2228,23
2227,27
2226,31
2225,36
2224,44
2223,46
2222,11
2221,0
2220,0
2219,1
2218,0
2217,1
2216,4
2215,18
2214,30
2213,15
2212,15
2211,15
2210,16
2209,17
2208,14
2207,25
2206,33
2205,36
2204,46
2203,42
2202,3
2201,0
2200,0
2199,0
2198,0
2197,2
2196,11
2195,25
2194,20
2193,11
